dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.6757,0.8982,0.4396,1.0359,0.9655,0.4524,0.9999,"[2939, 669, 333, 821]",0.7896,0.621,0.7114,0.551,0.4861,0.7114,0.8146
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,0.9448,0.9827,0.8795,0.9962,0.9954,0.8846,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Black,0.4491,0.8181,0.8829,0.8872,0.8876,0.883,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,Other,0.6606,0.8935,1.0889,0.9267,0.9315,0.9111,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,GaussianNB,White,1.7832,0.8533,1.1412,1.0845,0.9152,0.8607,0.9999,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.5058,0.8717,0.5988,0.9517,0.9574,0.6118,0.9995,"[3016, 592, 516, 638]",0.7673,0.5352,0.5529,0.5187,0.3806,0.5529,0.8359
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,1.0458,0.9882,1.0688,0.9668,0.9683,0.9253,0.9994,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Black,0.5993,0.8924,0.858,0.9568,0.9568,0.8586,0.9992,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,Other,0.7065,0.924,0.8463,0.9765,0.9829,0.8465,0.9995,,,,,,,,
Adult Income,race,Reweighing,Validation,Surrogate,DecisionTreeClassifier,White,1.4844,0.9116,1.0804,1.0433,0.957,0.921,0.9992,,,,,,,,
