dataset,protected_attribute,unbiasing_algorithm,data,classifier_type,classification_algorithm,value,disparate_impact,discrimination_score,true_positive_rate_diff,false_positive_rate_diff,false_positive_error_rate_balance_score,false_negative_error_rate_balance_score,consistency,confusion_matrix,accuracy,f1_score,recall,precision,mathews_cc,sensitivity,specificity
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,Other,1.0155,0.9961,1.0756,1.0467,0.9586,0.9243,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,RandomForestClassifier,White,1.2564,0.947,1.1172,0.9959,0.9962,0.8838,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Amer-Indian-Eskimo,0.4019,0.8497,0.6258,0.9307,0.9353,0.6388,0.9999,"[3025, 583, 547, 607]",0.7627,0.5179,0.526,0.5101,0.3607,0.526,0.8384
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Asian-Pac-Islander,0.6782,0.9188,0.8989,0.9132,0.9121,0.8954,0.9997,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Black,0.7123,0.9261,0.8492,0.9932,0.9935,0.8486,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier,Other,0.6322,0.9078,1.0745,0.9222,0.9259,0.9257,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Test,XGBClassifier,White,1.5083,0.9115,1.1442,1.0337,0.9662,0.8571,0.9999,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier,Amer-Indian-Eskimo,0.4232,0.855,0.8528,0.9153,0.9189,0.853,0.9999,"[3048, 560, 524, 631]",0.7724,0.5379,0.5463,0.5298,0.3871,0.5463,0.8448
Adult Income,race,Massaging,Test,Test,XGBClassifier,Asian-Pac-Islander,0.776,0.9436,0.9141,0.9385,0.9382,0.9122,0.9994,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier,Black,0.8119,0.9521,0.8715,1.0231,0.9767,0.8763,0.9999,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier,Other,0.6317,0.9076,0.6519,0.9855,0.9918,0.6522,0.9999,,,,,,,,
Adult Income,race,Massaging,Test,Test,XGBClassifier,White,1.3306,0.9356,1.1308,1.0029,0.9968,0.8705,0.9997,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.2436,0.7491,0.4578,0.8554,0.8587,0.4707,1.0,"[2840, 768, 354, 800]",0.7644,0.5878,0.6932,0.5102,0.438,0.6932,0.7871
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,Asian-Pac-Islander,0.6022,0.8674,0.7504,0.8883,0.8887,0.748,1.0,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,Black,0.3072,0.7558,0.7473,0.8281,0.8285,0.7493,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,Other,0.3687,0.7911,0.5046,0.899,0.9038,0.5046,1.0,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,LogisticRegression,White,2.8501,0.7643,1.2986,1.1672,0.8331,0.7041,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC,Amer-Indian-Eskimo,0.6332,0.9766,0.8067,1.0243,0.9733,0.8066,0.9997,"[3527, 81, 932, 222]",0.7873,0.3047,0.1924,0.7327,0.2983,0.1924,0.9775
Adult Income,race,Massaging,Validation,Surrogate,SVC,Asian-Pac-Islander,1.7974,0.9504,1.1584,0.9956,0.9964,0.8367,0.9996,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC,Black,0.0,0.9297,0.7981,0.9748,0.9748,0.798,0.9997,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC,Other,0.0,0.9359,0.8069,0.9773,0.9773,0.8068,0.9997,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,SVC,White,2.634,0.9567,1.0685,1.0189,0.9815,0.9336,0.9995,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.7357,0.9238,0.479,1.0572,0.9442,0.4916,0.9999,"[3015, 593, 378, 776]",0.7961,0.6151,0.6724,0.5668,0.481,0.6724,0.8356
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,Asian-Pac-Islander,0.9597,0.9884,0.8708,1.0086,0.9927,0.8732,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,Black,0.4579,0.8357,0.9058,0.9028,0.9028,0.9048,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,Other,0.7193,0.9191,1.1282,0.9479,0.9528,0.8719,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,GaussianNB,White,1.7298,0.8709,1.1281,1.0681,0.9321,0.8724,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,Amer-Indian-Eskimo,0.3246,0.7898,0.6208,0.8534,0.8579,0.6336,1.0,"[2749, 859, 541, 613]",0.706,0.4669,0.5312,0.4164,0.2718,0.5312,0.7619
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,Asian-Pac-Islander,0.891,0.9662,1.091,0.9,0.902,0.9028,0.9997,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,Black,0.7471,0.9199,0.8075,0.9811,0.9809,0.805,0.9999,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,Other,0.8275,0.9466,1.0691,0.9729,0.9675,0.9309,1.0,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,DecisionTreeClassifier,White,1.3564,0.9156,1.0859,1.0489,0.9513,0.9137,0.9997,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,Amer-Indian-Eskimo,0.5285,0.9099,0.7843,0.9857,0.9891,0.8098,0.9998,"[3305, 303, 551, 603]",0.8207,0.5854,0.5225,0.6656,0.4788,0.5225,0.916
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,Asian-Pac-Islander,0.9491,0.9903,0.952,0.9836,0.9822,0.9508,0.9997,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,Black,0.4065,0.8803,0.8349,0.9539,0.9536,0.8331,0.9998,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,Other,0.6394,0.9312,0.877,1.0006,0.9957,0.8769,0.9998,,,,,,,,
Adult Income,race,Massaging,Validation,Surrogate,RandomForestClassifier,White,1.9174,0.9023,1.1307,1.0382,0.9618,0.8713,0.9998,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,Amer-Indian-Eskimo,0.063,0.6832,0.2904,0.8054,0.8067,0.2904,1.0,"[2828, 780, 339, 816]",0.7651,0.5932,0.7065,0.5113,0.4452,0.7065,0.7838
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,Asian-Pac-Islander,0.5756,0.8559,0.799,0.8569,0.8558,0.7995,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,Black,0.3071,0.7514,0.6494,0.839,0.8389,0.6516,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,Other,0.8358,0.9449,1.0937,0.995,0.9896,0.9061,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,LogisticRegression,White,2.7955,0.763,1.3073,1.1649,0.8355,0.6943,1.0,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC,Amer-Indian-Eskimo,1.2626,0.9823,1.2036,1.0218,0.9758,0.7965,0.9991,"[3514, 94, 927, 228]",0.7856,0.3087,0.1974,0.7081,0.2925,0.1974,0.9739
Adult Income,race,Massaging,Test,Surrogate,SVC,Asian-Pac-Islander,1.7009,0.9536,1.1116,1.0107,0.9876,0.8858,0.9991,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC,Black,0.0,0.9253,0.7924,0.9708,0.9707,0.7925,0.9992,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC,Other,0.0,0.9318,0.8016,0.9737,0.9737,0.8017,0.9992,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,SVC,White,2.5256,0.9553,1.0719,1.0184,0.9814,0.9295,0.999,,,,,,,,
Adult Income,race,Massaging,Test,Surrogate,GaussianNB,Amer-Indian-Eskimo,0.6157,0.8871,0.9206,0.9495,0.9554,0.9209,1.0,"[2998, 610, 371, 784]",0.794,0.6151,0.6788,0.5624,0.4801,0.6788,0.8309
