dataset,attribute,group,algorithm,set,iteration,error,classifier_type,classification_algorithm,value,fairness_disparate_impact,fairness_discrimination_score,fairness_true_positive_rate_diff,fairness_false_positive_rate_diff,fairness_false_positive_error_rate_balance_score,fairness_false_negative_error_rate_balance_score,fairness_consistency,performance_accuracy,performance_f1_score,performance_auc
German Credit,Attribute9,Male,Massaging,Test,1,False,Test,XGBClassifier,Male,0.7807851600000002,0.3033641299999999,0.3036999999999999,0.7247027500000003,0.7247027499999998,0.3037000000000001,2.1620418,0.7544444444444443,0.8279259259259258,0.6951555555555555
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,LogisticRegression,Male,1.0736269000000005,0.4579567300000001,0.2394,1.1606934600000005,1.1606934600000005,0.2394,0.7855420200000001,0.7692592592592592,0.8447481481481481,0.6828074074074075
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,SVC,Male,0.3032048999999999,0.1444506499999999,0.1371999999999999,0.78017124,0.78017124,0.1371999999999999,0.78431691,0.7762962962962964,0.850851851851852,0.6853555555555554
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,GaussianNB,Male,2.03239588,0.47964273,0.4439999999999999,0.5779173700000002,0.57791737,0.444,1.50099891,0.7351851851851853,0.7987111111111111,0.7201962962962964
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,DecisionTreeClassifier,Male,1.4013370799999996,0.4316899999999999,0.4912999999999999,1.04786532,1.04786532,0.4913000000000002,3.1524437999999995,0.6888888888888888,0.7751666666666666,0.6359777777777778
German Credit,Attribute9,Male,Massaging,Validation,2,False,Surrogate,RandomForestClassifier,Male,0.5272570700000001,0.25580922,0.1755,0.6642020200000002,0.66420202,0.1755,1.14154002,0.7718518518518519,0.8467740740740742,0.6842999999999998
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,LogisticRegression,Male,1.1899656000000003,0.4486064900000001,0.2494,1.6498728400000002,1.64987284,0.2493999999999999,0.9280735799999998,0.7503703703703702,0.8308962962962965,0.6661407407407409
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,SVC,Male,0.6557206700000002,0.27914839,0.2492,1.0002667899999995,1.0002667899999995,0.2491999999999999,0.8311418,0.7544444444444446,0.8349148148148148,0.6662185185185185
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,GaussianNB,Male,3.59353823,0.58544926,0.5807999999999999,0.8584592400000003,0.85845924,0.5808000000000001,1.53781713,0.7244444444444444,0.7896777777777779,0.7132296296296295
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,DecisionTreeClassifier,Male,1.68830466,0.49911131,0.5925000000000001,1.0892263999999998,1.0892263999999998,0.5924999999999998,3.40810913,0.6922222222222223,0.7776740740740742,0.639411111111111
German Credit,Attribute9,Male,Massaging,Test,2,False,Surrogate,RandomForestClassifier,Male,0.4732133100000002,0.20998644,0.2303,0.69110327,0.6911032699999998,0.2302999999999999,1.3285900200000007,0.768888888888889,0.8430444444444443,0.6902999999999999
German Credit,Attribute9,Male,Massaging,Validation,2,False,Test,XGBClassifier,Male,1.2956049799999996,0.41711038,0.4293999999999999,0.8142543400000001,0.81425434,0.4294000000000001,1.95655202,0.7588888888888891,0.8337925925925925,0.6873962962962964
German Credit,Attribute9,Male,Massaging,Test,2,False,Test,XGBClassifier,Male,0.7807851600000002,0.3033641299999999,0.3036999999999999,0.7247027500000003,0.7247027499999998,0.3037000000000001,2.1620418,0.7544444444444443,0.8279259259259258,0.6951555555555555
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,LogisticRegression,Female,0.4704427800000001,0.25369488,0.2177,1.01768447,1.0176844699999998,0.2176999999999999,0.90582402,0.768888888888889,0.8428296296296296,0.6892555555555554
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,SVC,Female,0.3419752500000001,0.1829046599999999,0.1808000000000001,0.9732999500000002,0.97329995,0.1808,0.8618989099999999,0.7737037037037037,0.8467814814814815,0.6919740740740741
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,GaussianNB,Female,1.29763065,0.3355804700000001,0.3693,0.96546534,0.96546534,0.3692999999999999,1.52080424,0.714814814814815,0.7798925925925928,0.704225925925926
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,DecisionTreeClassifier,Female,0.7568050000000001,0.3276714,0.4110999999999999,0.5512206200000004,0.55122062,0.4110999999999999,3.4445038,0.671851851851852,0.761385185185185,0.6192185185185186
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Surrogate,RandomForestClassifier,Female,0.2205385,0.1395953999999999,0.182,0.54257563,0.54257563,0.1819999999999999,1.42174913,0.7629629629629631,0.8384851851851851,0.6832407407407407
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,LogisticRegression,Female,0.2973501200000001,0.16594195,0.2512000000000001,1.0064948800000002,1.00649488,0.2512,1.1165995699999998,0.7433333333333333,0.8235111111111112,0.6678037037037036
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,SVC,Female,0.21940688,0.1259575,0.2673999999999999,0.8680239100000003,0.8680239100000001,0.2674,0.95375469,0.7574074074074071,0.8344148148148148,0.6799851851851852
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,GaussianNB,Female,0.6956614199999998,0.23586465,0.4245999999999998,0.6505660200000003,0.6505660200000003,0.4246,1.61324402,0.7192592592592594,0.7817888888888889,0.7165740740740743
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,DecisionTreeClassifier,Female,1.1973760499999997,0.4099238299999999,0.4907999999999999,0.9538514500000004,0.9538514500000002,0.4908000000000001,3.86949891,0.672222222222222,0.755751851851852,0.6353629629629629
German Credit,Attribute9,Female,Reweighing,Test,1,False,Surrogate,RandomForestClassifier,Female,0.23432809,0.1378028999999999,0.3335000000000001,0.64345711,0.6434571099999998,0.3335000000000001,1.5023442400000002,0.7599999999999999,0.8354148148148149,0.6860592592592594
German Credit,Attribute9,Female,Reweighing,Validation,1,False,Test,XGBClassifier,Female,0.5316430600000001,0.28857484,0.2911000000000001,1.0221198100000002,1.02211981,0.2911,2.0008642400000003,0.7540740740740739,0.8295407407407405,0.6853555555555556
German Credit,Attribute9,Female,Reweighing,Test,1,False,Test,XGBClassifier,Female,0.39061112,0.2032937500000001,0.4000000000000001,0.85646612,0.85646612,0.4000000000000002,2.16170913,0.7425925925925926,0.8186407407407408,0.6842259259259259
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,LogisticRegression,Female,0.3686048,0.22355147,0.1946000000000001,1.0587615,1.0587614999999997,0.1946,0.87855713,0.7670370370370372,0.8420333333333333,0.6850962962962964
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,SVC,Female,0.27567943,0.15580826,0.1636,1.0439088,1.0439088,0.1636,0.9387691299999998,0.7748148148148148,0.8466037037037039,0.697696296296296
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,GaussianNB,Female,1.05881612,0.28883977,0.3261999999999999,1.0414898499999998,1.04148985,0.3262,1.49278157,0.7181481481481483,0.7826962962962964,0.7073185185185187
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,DecisionTreeClassifier,Female,0.967345,0.35647038,0.4026,1.28648807,1.28648807,0.4025999999999999,3.46774536,0.6629629629629631,0.7535962962962967,0.6107592592592591
German Credit,Attribute9,Female,Reweighing,Validation,2,False,Surrogate,RandomForestClassifier,Female,0.25951006,0.17236412,0.2276000000000001,0.7110131500000005,0.7110131500000001,0.2275999999999999,1.4430751300000004,0.7611111111111112,0.838025925925926,0.6787444444444445
German Credit,Attribute9,Female,Reweighing,Test,2,False,Surrogate,LogisticRegression,Female,0.2365426300000001,0.13923543,0.2128,0.7473129300000001,0.7473129299999999,0.2128,1.05740291,0.7459259259259258,0.8261555555555558,0.6671962962962964
